account_id,company_name,segment,industry,region,employee_size,customer_since,account_status
1,Company_00005,Mid-Market,Manufacturing,Taiwan,376,2024-09-23,Churned
2,Company_00014,Mid-Market,Financial Services,Japan,126,2025-10-28,Churned
3,Company_00022,SMB,Professional Services,Taiwan,74,2024-07-09,Active
4,Company_00037,Enterprise,Technology,Taiwan,3840,2025-01-01,Active
5,Company_00051,SMB,Financial Services,Japan,27,2024-12-02,Churned
6,Company_00054,SMB,Financial Services,Singapore,76,2025-09-23,Churned
7,Company_00075,SMB,Healthcare,Hong Kong,39,2025-02-13,Churned
8,Company_00087,SMB,Healthcare,Taiwan,50,2025-10-19,Churned
9,Company_00093,SMB,Technology,Japan,99,2025-10-04,Churned
10,Company_00097,Mid-Market,Financial Services,Hong Kong,267,2026-02-01,Active
11,Company_00099,SMB,Healthcare,Japan,91,2024-07-21,Active
12,Company_00120,Mid-Market,Technology,Singapore,346,2024-08-30,Active
13,Company_00122,SMB,Professional Services,Singapore,22,2024-04-09,Churned
14,Company_00123,Mid-Market,Technology,Taiwan,244,2026-02-14,Active
15,Company_00124,SMB,Professional Services,Singapore,33,2025-01-19,Active
16,Company_00134,Mid-Market,Retail,Hong Kong,339,2025-08-13,Churned
17,Company_00147,Enterprise,Financial Services,Taiwan,758,2024-11-08,Active
18,Company_00152,SMB,Technology,Hong Kong,85,2024-09-21,Active
19,Company_00185,SMB,Healthcare,Hong Kong,37,2024-05-27,Churned
20,Company_00200,Enterprise,Healthcare,Taiwan,1186,2025-05-03,Churned
21,Company_00205,SMB,Financial Services,Japan,86,2024-09-23,Churned
22,Company_00210,Enterprise,Healthcare,Singapore,1181,2024-09-09,Churned
23,Company_00232,SMB,Technology,Taiwan,33,2024-10-05,Churned
24,Company_00235,SMB,Financial Services,Singapore,18,2025-04-29,Churned
25,Company_00238,Mid-Market,Manufacturing,Taiwan,177,2024-05-09,Churned
26,Company_00244,Mid-Market,Retail,Hong Kong,271,2025-12-20,Churned
27,Company_00245,SMB,Technology,Taiwan,93,2024-04-04,Churned
28,Company_00254,Mid-Market,Retail,Hong Kong,398,2024-03-31,Active
29,Company_00258,SMB,Financial Services,Taiwan,52,2024-03-21,Churned
30,Company_00270,SMB,Technology,Hong Kong,39,2024-04-29,Active
31,Company_00285,SMB,Technology,Hong Kong,52,2025-07-05,Active
32,Company_00286,SMB,Financial Services,Singapore,37,2025-05-06,Active
33,Company_00290,SMB,Professional Services,Singapore,90,2024-12-21,Churned
34,Company_00300,Mid-Market,Manufacturing,Japan,168,2025-05-24,Active
35,Company_00311,SMB,Manufacturing,Singapore,46,2025-03-16,Churned
36,Company_00318,Mid-Market,Technology,Japan,161,2025-08-04,Churned
