lead_id,created_date,company_name,lead_source,industry,company_size,region,lead_status
1,2025-10-16,Company_00001,Website,Professional Services,SMB,Japan,New
2,2024-05-22,Company_00002,Outbound,Professional Services,Mid-Market,Taiwan,New
3,2025-08-27,Company_00003,Paid Ads,Technology,SMB,Japan,New
4,2025-06-01,Company_00004,Referral,Financial Services,SMB,Hong Kong,New
5,2024-08-13,Company_00005,Paid Ads,Manufacturing,Mid-Market,Taiwan,New
6,2024-06-12,Company_00006,Outbound,Manufacturing,SMB,Japan,New
7,2024-12-10,Company_00007,Website,Healthcare,SMB,Singapore,New
8,2025-09-10,Company_00008,Website,Technology,Mid-Market,Taiwan,New
9,2025-01-22,Company_00009,Website,Manufacturing,Mid-Market,Singapore,New
10,2025-08-14,Company_00010,Website,Technology,SMB,Japan,New
11,2024-10-23,Company_00011,Event,Retail,Enterprise,Hong Kong,New
12,2024-10-11,Company_00012,Paid Ads,Manufacturing,SMB,Singapore,New
13,2024-08-02,Company_00013,Outbound,Professional Services,Enterprise,Taiwan,New
14,2025-09-15,Company_00014,Referral,Financial Services,Mid-Market,Japan,New
15,2025-04-18,Company_00015,Paid Ads,Professional Services,Mid-Market,Japan,New
16,2025-12-02,Company_00016,Paid Ads,Technology,SMB,Taiwan,New
17,2024-11-19,Company_00017,Paid Ads,Technology,SMB,Singapore,New
18,2024-08-05,Company_00018,Outbound,Healthcare,Enterprise,Hong Kong,New
19,2024-05-26,Company_00019,Website,Retail,Mid-Market,Singapore,New
20,2025-08-21,Company_00020,Paid Ads,Financial Services,SMB,Japan,New
21,2024-05-21,Company_00021,Referral,Technology,Mid-Market,Taiwan,New
22,2024-06-05,Company_00022,Referral,Professional Services,SMB,Taiwan,New
23,2025-01-29,Company_00023,Paid Ads,Healthcare,SMB,Taiwan,New
24,2025-11-27,Company_00024,Outbound,Professional Services,Enterprise,Singapore,New
25,2025-10-18,Company_00025,Paid Ads,Manufacturing,SMB,Hong Kong,New
26,2024-01-04,Company_00026,Event,Professional Services,SMB,Japan,New
27,2025-06-03,Company_00027,Partner,Professional Services,SMB,Japan,New
28,2024-06-05,Company_00028,Paid Ads,Retail,SMB,Taiwan,New
29,2025-09-05,Company_00029,Paid Ads,Technology,SMB,Singapore,New
30,2024-11-10,Company_00030,Website,Retail,Enterprise,Taiwan,New
31,2024-03-28,Company_00031,Outbound,Technology,Enterprise,Japan,New
32,2024-05-11,Company_00032,Outbound,Financial Services,SMB,Hong Kong,New
33,2024-08-04,Company_00033,Partner,Professional Services,Mid-Market,Singapore,New
34,2025-02-12,Company_00034,Event,Professional Services,SMB,Hong Kong,New
35,2024-05-03,Company_00035,Website,Technology,SMB,Japan,New
36,2025-08-25,Company_00036,Website,Technology,Mid-Market,Taiwan,New
37,2024-08-22,Company_00037,Website,Technology,Enterprise,Taiwan,New
38,2025-06-10,Company_00038,Website,Professional Services,SMB,Japan,New
39,2025-08-07,Company_00039,Referral,Retail,Mid-Market,Hong Kong,New
40,2024-07-13,Company_00040,Website,Professional Services,SMB,Hong Kong,New
41,2025-02-24,Company_00041,Paid Ads,Professional Services,SMB,Taiwan,New
42,2024-03-03,Company_00042,Paid Ads,Manufacturing,Mid-Market,Taiwan,New
43,2024-09-11,Company_00043,Website,Financial Services,SMB,Hong Kong,New
44,2024-07-06,Company_00044,Website,Retail,Enterprise,Taiwan,New
45,2025-03-29,Company_00045,Outbound,Financial Services,SMB,Taiwan,New
46,2024-04-05,Company_00046,Partner,Retail,SMB,Hong Kong,New
47,2025-05-07,Company_00047,Website,Healthcare,Enterprise,Japan,New
48,2025-01-23,Company_00048,Website,Healthcare,SMB,Hong Kong,New
49,2024-10-19,Company_00049,Paid Ads,Professional Services,Enterprise,Hong Kong,New
50,2024-06-07,Company_00050,Website,Retail,Enterprise,Taiwan,New
51,2024-11-17,Company_00051,Website,Financial Services,SMB,Japan,New
52,2024-02-28,Company_00052,Event,Technology,Enterprise,Taiwan,New
53,2025-09-01,Company_00053,Website,Retail,SMB,Japan,New
54,2025-08-15,Company_00054,Referral,Financial Services,SMB,Singapore,New
55,2024-09-24,Company_00055,Website,Professional Services,SMB,Singapore,New
56,2025-02-09,Company_00056,Website,Professional Services,SMB,Singapore,New
57,2024-03-15,Company_00057,Website,Financial Services,Enterprise,Taiwan,New
58,2024-03-16,Company_00058,Referral,Financial Services,SMB,Singapore,New
59,2024-03-11,Company_00059,Partner,Manufacturing,SMB,Hong Kong,New
60,2025-07-10,Company_00060,Outbound,Financial Services,Enterprise,Taiwan,New
61,2025-11-14,Company_00061,Outbound,Manufacturing,Enterprise,Taiwan,New
62,2024-05-17,Company_00062,Website,Technology,Mid-Market,Japan,New
63,2024-10-05,Company_00063,Website,Retail,Mid-Market,Japan,New
64,2025-12-04,Company_00064,Referral,Manufacturing,SMB,Singapore,New
65,2024-02-22,Company_00065,Website,Healthcare,Mid-Market,Taiwan,New
66,2024-01-04,Company_00066,Paid Ads,Retail,Mid-Market,Singapore,New
67,2024-06-14,Company_00067,Outbound,Financial Services,Mid-Market,Taiwan,New
68,2024-04-24,Company_00068,Website,Professional Services,Enterprise,Taiwan,New
69,2025-01-13,Company_00069,Referral,Retail,SMB,Taiwan,New
70,2024-11-11,Company_00070,Paid Ads,Technology,Enterprise,Japan,New
71,2025-11-29,Company_00071,Website,Technology,SMB,Hong Kong,New
72,2025-09-27,Company_00072,Outbound,Retail,Enterprise,Japan,New
73,2025-02-26,Company_00073,Website,Professional Services,Enterprise,Hong Kong,New
74,2025-11-16,Company_00074,Partner,Retail,SMB,Taiwan,New
75,2025-01-26,Company_00075,Partner,Healthcare,SMB,Hong Kong,New
76,2024-12-24,Company_00076,Paid Ads,Retail,SMB,Japan,New
