revenue_id,account_id,revenue_month,starting_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,ending_mrr
1,1,2024-09-01,0,11240,0,0,0,11240
2,1,2024-10-01,11240,0,0,0,0,11240
3,1,2024-11-01,11240,0,0,0,0,11240
4,1,2024-12-01,11240,0,0,0,0,11240
5,1,2025-01-01,11240,0,0,0,0,11240
6,1,2025-02-01,11240,0,0,0,0,11240
7,1,2025-03-01,11240,0,0,0,0,11240
8,1,2025-04-01,11240,0,0,0,0,11240
9,1,2025-05-01,11240,0,0,0,0,11240
10,1,2025-06-01,11240,0,0,0,0,11240
11,1,2025-07-01,11240,0,0,0,0,11240
12,1,2025-08-01,11240,0,0,0,0,11240
13,1,2025-09-01,11240,0,0,0,0,11240
14,1,2025-10-01,11240,0,0,0,0,11240
15,1,2025-11-01,11240,0,0,0,0,11240
16,1,2025-12-01,11240,0,0,0,0,11240
17,1,2026-01-01,11240,0,0,0,0,11240
18,1,2026-02-01,11240,0,0,1216,0,10024
19,1,2026-03-01,10024,0,0,0,0,10024
20,1,2026-04-01,10024,0,0,2140,0,7884
21,1,2026-05-01,7884,0,0,0,0,7884
22,1,2026-06-01,7884,0,0,0,0,7884
23,2,2025-10-01,0,16422,0,0,0,16422
24,2,2025-11-01,16422,0,0,0,0,16422
25,2,2025-12-01,16422,0,0,0,0,16422
26,2,2026-01-01,16422,0,0,0,0,16422
27,2,2026-02-01,16422,0,0,0,0,16422
28,2,2026-03-01,16422,0,0,0,0,16422
29,2,2026-04-01,16422,0,0,0,0,16422
30,2,2026-05-01,16422,0,0,0,0,16422
31,2,2026-06-01,16422,0,0,0,0,16422
32,3,2024-07-01,0,5665,0,0,0,5665
33,3,2024-08-01,5665,0,0,0,0,5665
34,3,2024-09-01,5665,0,0,0,0,5665
35,3,2024-10-01,5665,0,0,0,0,5665
36,3,2024-11-01,5665,0,0,0,0,5665
37,3,2024-12-01,5665,0,0,0,0,5665
38,3,2025-01-01,5665,0,0,0,0,5665
39,3,2025-02-01,5665,0,678,0,0,6343
40,3,2025-03-01,6343,0,0,0,0,6343
41,3,2025-04-01,6343,0,0,0,0,6343
42,3,2025-05-01,6343,0,0,0,0,6343
43,3,2025-06-01,6343,0,0,0,0,6343
44,3,2025-07-01,6343,0,0,947,0,5396
45,3,2025-08-01,5396,0,0,0,0,5396
46,3,2025-09-01,5396,0,0,0,0,5396
47,3,2025-10-01,5396,0,0,0,0,5396
48,3,2025-11-01,5396,0,0,0,0,5396
49,3,2025-12-01,5396,0,0,0,5396,0
50,3,2026-01-01,0,0,0,0,0,0
51,3,2026-02-01,0,0,0,0,0,0
52,3,2026-03-01,0,0,0,0,0,0
53,3,2026-04-01,0,0,0,0,0,0
54,3,2026-05-01,0,0,0,0,0,0
55,3,2026-06-01,0,0,0,0,0,0
56,4,2025-01-01,0,58578,0,0,0,58578
57,4,2025-02-01,58578,0,0,0,0,58578
58,4,2025-03-01,58578,0,0,0,58578,0
59,4,2025-04-01,0,0,0,0,0,0
60,4,2025-05-01,0,0,0,0,0,0
61,4,2025-06-01,0,0,0,0,0,0
62,4,2025-07-01,0,0,0,0,0,0
63,4,2025-08-01,0,0,0,0,0,0
64,4,2025-09-01,0,0,0,0,0,0
65,4,2025-10-01,0,0,0,0,0,0
66,4,2025-11-01,0,0,0,0,0,0
67,4,2025-12-01,0,0,0,0,0,0
68,4,2026-01-01,0,0,0,0,0,0
69,4,2026-02-01,0,0,0,0,0,0
70,4,2026-03-01,0,0,0,0,0,0
71,4,2026-04-01,0,0,0,0,0,0
72,4,2026-05-01,0,0,0,0,0,0
73,4,2026-06-01,0,0,0,0,0,0
74,5,2024-12-01,0,4069,0,0,0,4069
75,5,2025-01-01,4069,0,0,0,0,4069
76,5,2025-02-01,4069,0,0,0,0,4069
77,5,2025-03-01,4069,0,0,0,0,4069
78,5,2025-04-01,4069,0,0,0,0,4069
79,5,2025-05-01,4069,0,0,0,0,4069
80,5,2025-06-01,4069,0,0,0,0,4069
81,5,2025-07-01,4069,0,0,0,0,4069
82,5,2025-08-01,4069,0,0,0,0,4069
83,5,2025-09-01,4069,0,0,0,0,4069
84,5,2025-10-01,4069,0,0,0,0,4069
85,5,2025-11-01,4069,0,0,0,0,4069
86,5,2025-12-01,4069,0,0,0,0,4069
87,5,2026-01-01,4069,0,0,0,0,4069
88,5,2026-02-01,4069,0,0,0,0,4069
89,5,2026-03-01,4069,0,579,0,0,4648
90,5,2026-04-01,4648,0,1004,0,0,5652
91,5,2026-05-01,5652,0,0,0,0,5652
92,5,2026-06-01,5652,0,0,0,0,5652
93,6,2025-09-01,0,6353,0,0,0,6353
94,6,2025-10-01,6353,0,0,0,0,6353
95,6,2025-11-01,6353,0,0,0,0,6353
96,6,2025-12-01,6353,0,0,0,0,6353
97,6,2026-01-01,6353,0,0,0,0,6353
98,6,2026-02-01,6353,0,0,0,0,6353
99,6,2026-03-01,6353,0,0,0,0,6353
100,6,2026-04-01,6353,0,0,0,0,6353
101,6,2026-05-01,6353,0,1474,0,0,7827
102,6,2026-06-01,7827,0,0,0,0,7827
103,7,2025-02-01,0,5406,0,0,0,5406
104,7,2025-03-01,5406,0,0,0,0,5406
105,7,2025-04-01,5406,0,0,0,0,5406
106,7,2025-05-01,5406,0,0,0,0,5406
107,7,2025-06-01,5406,0,0,0,0,5406
108,7,2025-07-01,5406,0,0,0,0,5406
109,7,2025-08-01,5406,0,0,0,0,5406
110,7,2025-09-01,5406,0,0,1104,0,4302
111,7,2025-10-01,4302,0,0,0,0,4302
112,7,2025-11-01,4302,0,0,0,0,4302
113,7,2025-12-01,4302,0,0,0,0,4302
114,7,2026-01-01,4302,0,0,0,0,4302
115,7,2026-02-01,4302,0,0,0,0,4302
116,7,2026-03-01,4302,0,0,0,0,4302
117,7,2026-04-01,4302,0,0,0,0,4302
118,7,2026-05-01,4302,0,0,0,0,4302
119,7,2026-06-01,4302,0,655,0,0,4957
120,8,2025-10-01,0,3974,0,0,0,3974
121,8,2025-11-01,3974,0,0,0,0,3974
122,8,2025-12-01,3974,0,0,0,0,3974
123,8,2026-01-01,3974,0,0,0,0,3974
124,8,2026-02-01,3974,0,0,0,0,3974
125,8,2026-03-01,3974,0,0,0,0,3974
126,8,2026-04-01,3974,0,991,0,0,4965
127,8,2026-05-01,4965,0,0,0,0,4965
128,8,2026-06-01,4965,0,0,0,0,4965
129,9,2025-10-01,0,19898,0,0,0,19898
130,9,2025-11-01,19898,0,0,0,0,19898
131,9,2025-12-01,19898,0,0,0,0,19898
