subscription_id,account_id,plan_name,start_date,renewal_date,contract_term,monthly_fee,subscription_status
1,1,Growth,2024-09-23,2025-09-23,12,11240,Churned
2,2,Growth,2025-10-28,2026-10-28,12,16422,Churned
3,3,Starter,2024-07-09,2026-07-09,24,5665,Active
4,4,Enterprise,2025-01-01,2027-01-01,24,58578,Active
5,5,Starter,2024-12-02,2025-12-02,12,4069,Churned
6,6,Starter,2025-09-23,2026-09-23,12,6353,Churned
7,7,Starter,2025-02-13,2026-02-13,12,5406,Churned
8,8,Starter,2025-10-19,2026-10-19,12,3974,Churned
9,9,Growth,2025-10-04,2026-10-04,12,19898,Churned
10,10,Starter,2026-02-01,2028-02-01,24,4940,Active
11,11,Starter,2024-07-21,2025-07-21,12,4938,Active
12,12,Growth,2024-08-30,2025-08-30,12,9536,Active
13,13,Starter,2024-04-09,2025-04-09,12,5513,Churned
14,14,Enterprise,2026-02-14,2027-02-14,12,73432,Active
15,15,Starter,2025-01-19,2026-01-19,12,3975,Active
16,16,Enterprise,2025-08-13,2026-08-13,12,30657,Churned
17,17,Enterprise,2024-11-08,2025-11-08,12,46443,Active
18,18,Growth,2024-09-21,2025-09-21,12,9132,Active
19,19,Starter,2024-05-27,2025-05-27,12,4384,Churned
20,20,Enterprise,2025-05-03,2026-05-03,12,56337,Churned
21,21,Growth,2024-09-23,2025-09-23,12,14436,Churned
22,22,Growth,2024-09-09,2025-09-09,12,13087,Churned
23,23,Growth,2024-10-05,2026-10-05,24,8071,Churned
24,24,Starter,2025-04-29,2026-04-29,12,7068,Churned
25,25,Growth,2024-05-09,2025-05-09,12,24285,Churned
26,26,Growth,2025-12-20,2026-12-20,12,16524,Churned
27,27,Starter,2024-04-04,2025-04-04,12,6299,Churned
28,28,Growth,2024-03-31,2025-03-31,12,19564,Active
29,29,Starter,2024-03-21,2025-03-21,12,7386,Churned
30,30,Starter,2024-04-29,2025-04-29,12,4359,Active
31,31,Growth,2025-07-05,2026-07-05,12,11846,Active
32,32,Growth,2025-05-06,2026-05-06,12,14526,Active
33,33,Growth,2024-12-21,2025-12-21,12,14061,Churned
34,34,Growth,2025-05-24,2026-05-24,12,21195,Active
35,35,Starter,2025-03-16,2026-03-16,12,3715,Churned
36,36,Starter,2025-08-04,2026-08-04,12,4393,Churned
37,37,Growth,2025-09-14,2028-09-14,36,9634,Active
38,38,Growth,2025-04-04,2026-04-04,12,17266,Active
39,39,Starter,2024-06-04,2025-06-04,12,6381,Active
40,40,Enterprise,2024-03-17,2026-03-17,24,60772,Churned
41,41,Starter,2024-04-01,2025-04-01,12,7200,Active
42,42,Growth,2024-08-03,2025-08-03,12,15182,Active
43,43,Enterprise,2024-08-23,2025-08-23,12,34013,Active
44,44,Growth,2025-07-09,2026-07-09,12,14735,Churned
45,45,Starter,2025-10-08,2026-10-08,12,6911,Active
46,46,Starter,2025-09-03,2026-09-03,12,6180,Churned
47,47,Growth,2025-05-11,2028-05-11,36,16987,Active
48,48,Starter,2024-08-21,2025-08-21,12,5974,Active
49,49,Growth,2024-07-12,2025-07-12,12,8705,Churned
50,50,Starter,2025-12-23,2027-12-23,24,5084,Churned
51,51,Enterprise,2024-09-24,2025-09-24,12,45516,Churned
52,52,Starter,2024-09-19,2025-09-19,12,5324,Churned
53,53,Growth,2025-03-22,2026-03-22,12,20361,Active
54,54,Starter,2025-11-17,2027-11-17,24,5158,Active
55,55,Enterprise,2025-05-30,2028-05-30,36,73994,Churned
56,56,Growth,2025-03-15,2026-03-15,12,18538,Active
57,57,Starter,2025-08-23,2026-08-23,12,3053,Active
58,58,Starter,2025-06-19,2026-06-19,12,3526,Churned
59,59,Growth,2025-03-12,2026-03-12,12,16308,Active
60,60,Starter,2025-06-06,2026-06-06,12,7886,Churned
61,61,Enterprise,2026-01-14,2028-01-14,24,41215,Churned
62,62,Starter,2025-08-09,2026-08-09,12,4246,Active
63,63,Starter,2024-12-21,2025-12-21,12,6858,Churned
64,64,Starter,2024-04-10,2026-04-10,24,4921,Churned
65,65,Growth,2025-06-22,2026-06-22,12,15307,Churned
66,66,Growth,2025-01-29,2026-01-29,12,15990,Churned
67,67,Growth,2025-01-10,2027-01-10,24,22400,Churned
68,68,Starter,2024-11-15,2026-11-15,24,7655,Churned
69,69,Growth,2024-04-17,2027-04-17,36,17769,Churned
70,70,Growth,2024-04-15,2025-04-15,12,10174,Churned
71,71,Starter,2024-09-03,2025-09-03,12,5595,Churned
72,72,Growth,2025-09-26,2026-09-26,12,13146,Churned
73,73,Starter,2025-02-14,2028-02-14,36,5868,Churned
74,74,Growth,2024-08-09,2026-08-09,24,16182,Churned
75,75,Growth,2025-09-08,2026-09-08,12,24551,Churned
76,76,Growth,2025-08-25,2026-08-25,12,11346,Active
77,77,Enterprise,2025-05-08,2028-05-08,36,59261,Churned
78,78,Starter,2026-02-07,2027-02-07,12,3563,Active
79,79,Enterprise,2025-10-21,2026-10-21,12,29292,Active
80,80,Growth,2025-07-11,2026-07-11,12,9635,Active
81,81,Growth,2025-07-07,2026-07-07,12,8148,Churned
82,82,Starter,2024-06-01,2025-06-01,12,4120,Churned
83,83,Growth,2025-03-21,2026-03-21,12,20775,Active
84,84,Growth,2024-03-15,2025-03-15,12,23389,Churned
85,85,Starter,2024-06-15,2025-06-15,12,5328,Churned
86,86,Starter,2024-05-18,2026-05-18,24,6569,Active
87,87,Growth,2024-02-09,2025-02-09,12,15049,Churned
88,88,Growth,2024-10-12,2025-10-12,12,15713,Active
89,89,Enterprise,2025-06-06,2026-06-06,12,62762,Churned
90,90,Starter,2025-06-23,2028-06-23,36,5455,Active
91,91,Growth,2026-03-19,2027-03-19,12,24090,Churned
92,92,Growth,2024-05-18,2025-05-18,12,21433,Active
93,93,Starter,2024-02-25,2025-02-25,12,6082,Churned
94,94,Starter,2024-05-11,2026-05-11,24,5144,Active
95,95,Growth,2025-01-17,2026-01-17,12,15625,Churned
96,96,Enterprise,2025-11-07,2026-11-07,12,66572,Churned
97,97,Growth,2024-03-14,2025-03-14,12,21777,Churned
98,98,Starter,2025-04-14,2026-04-14,12,4306,Churned
99,99,Starter,2025-05-17,2026-05-17,12,3426,Churned
100,100,Enterprise,2026-02-13,2028-02-13,24,26277,Churned
101,101,Starter,2025-03-13,2026-03-13,12,5061,Churned
102,102,Growth,2025-05-23,2026-05-23,12,19381,Active
103,103,Starter,2024-09-20,2025-09-20,12,4698,Active
104,104,Starter,2025-01-22,2027-01-22,24,7274,Churned
105,105,Growth,2025-08-23,2026-08-23,12,15813,Churned
106,106,Starter,2025-09-03,2026-09-03,12,4497,Churned
107,107,Enterprise,2025-04-25,2026-04-25,12,47431,Churned
108,108,Enterprise,2025-12-03,2026-12-03,12,63367,Active
109,109,Growth,2024-02-06,2026-02-06,24,21059,Churned
110,110,Enterprise,2024-12-14,2025-12-14,12,40333,Churned
111,111,Starter,2024-03-14,2025-03-14,12,6176,Churned
112,112,Growth,2024-09-27,2026-09-27,24,11349,Active
113,113,Growth,2025-07-28,2026-07-28,12,24713,Active
114,114,Growth,2024-09-05,2025-09-05,12,16204,Active
115,115,Starter,2024-05-03,2025-05-03,12,5368,Churned
116,116,Starter,2024-12-29,2025-12-29,12,7497,Active
117,117,Growth,2025-10-24,2026-10-24,12,14952,Churned
118,118,Growth,2025-04-21,2027-04-21,24,24897,Active
119,119,Growth,2025-12-08,2026-12-08,12,23115,Churned
120,120,Starter,2025-04-23,2026-04-23,12,7871,Active
121,121,Starter,2024-05-29,2025-05-29,12,5701,Churned
122,122,Growth,2025-05-26,2027-05-26,24,12976,Active
123,123,Starter,2025-05-12,2026-05-12,12,7039,Churned
124,124,Enterprise,2025-02-14,2027-02-14,24,72334,Active
125,125,Starter,2025-12-03,2027-12-03,24,6729,Churned
126,126,Growth,2024-06-19,2025-06-19,12,13133,Churned
127,127,Enterprise,2026-03-08,2027-03-08,12,28074,Active
128,128,Growth,2025-04-13,2027-04-13,24,21599,Active
129,129,Growth,2025-10-17,2026-10-17,12,9710,Churned
